key_index,text,overall
28,"A poignant , artfully crafted meditation on mortality .",5
29,A rarity among recent Iranian films : It 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .,5
30,"Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",5
31,"In a way , the film feels like a breath of fresh air , but only to those that allow it in .",5
32,"Woody Allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz .",4
33,It 's a stunning lyrical work of considerable force and truth .,4
34,"The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time .",3
35,"( Næs ) directed the stage version of Elling , and gets fine performances from his two leads who originated the characters on stage .",5
36,"A coda in every sense , The Pinochet Case splits time between a minute-by-minute account of the British court 's extradition chess game and the regime 's talking-head survivors .",5
37,"Like Mike is a winner for kids , and no doubt a winner for Lil Bow Wow , who can now add movies to the list of things he does well .",5
38,"( T ) his beguiling Belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why .",4
39,Here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .,1
40,"But taken as a stylish and energetic one-shot , The Queen of the Damned can not be said to suck .",4
41,"You wo n't like Roger , but you will quickly recognize him .",2
42,And that 's a big part of why we go to the movies .,4
43,"While the stoically delivered hokum of Hart 's War is never fun , it 's still a worthy addition to the growing canon of post-Saving Private Ryan tributes to the greatest generation .",3
44,"We know the plot 's a little crazy , but it held my interest from start to finish .",4
45,A sober and affecting chronicle of the leveling effect of loss .,3
46,"A fast , funny , highly enjoyable movie .",5
47,"A celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .",4
48,"Writer/director Joe Carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic .",4
49,"A smart , witty follow-up .",5
50,"While the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .",5
51,An infectious cultural fable with a tasty balance of family drama and frenetic comedy .,4
52,"Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .",3
53,It provides an honest look at a community striving to anchor itself in new grounds .,4
54,"Add yet another hat to a talented head , Clooney 's a good director .",5
55,"Building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .",4
56,"Ultimately feels empty and unsatisfying , like swallowing a Communion wafer without the wine .",1
57,"Chilling , well-acted , and finely directed : David Jacobson 's Dahmer .",4
58,"A swashbuckling tale of love , betrayal , revenge and above all , faith .",4
59,"Without ever becoming didactic , director Carlos Carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .",4
60,It 's a coming-of-age story we 've all seen bits of in other films -- but it 's rarely been told with such affecting grace and cultural specificity .,3
61,A literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .,5
62,Makes even the claustrophobic on-board quarters seem fun .,3
63,"This is as respectful a film as Byatt fans could hope for , though lovers of the book may wonder why it 's necessary .",3
64,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece .,5
65,"Not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics .",4
66,For the most part Stevens glides through on some solid performances and witty dialogue .,4
67,Broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .,4
68,"Against all odds in heaven and hell , it creeped me out just fine .",4
69,It 's refreshing to see a girl-power movie that does n't feel it has to prove anything .,5
70,"It 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",4
71,A rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .,4
72,This surreal Gilliam-esque film is also a troubling interpretation of Ecclesiastes .,4
73,A rewarding work of art for only the most patient and challenge-hungry moviegoers .,4
74,A quiet treasure -- a film to be savored .,5
75,"May be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",4
76,A compelling Spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .,4
77,Huston nails both the glad-handing and the choking sense of hollow despair .,4
78,"may not have generated many sparks , but with his affection for Astoria and its people he has given his tale a warm glow .",3
79,A delirious celebration of the female orgasm .,3
80,"Exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .",5
81,It 's fascinating to see how Bettany and McDowell play off each other .,4
82,"The film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of Joan 's madness .",4
83,Leigh 's film is full of memorable performances from top to bottom .,5
84,One of the most significant moviegoing pleasures of the year .,5
85,"Jose Campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .",5
86,"Generally , Clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .",4
87,The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in Hollywood 's hastier productions .,5
88,"Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .",4
89,"It 's a much more emotional journey than what Shyamalan has given us in his past two movies , and Gibson , stepping in for Bruce Willis , is the perfect actor to take us on the trip .",4
90,"Not only are the special effects and narrative flow much improved , and Daniel Radcliffe more emotionally assertive this time around as Harry , but the film conjures the magic of author J.K. Rowling 's books .",5
91,Jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters,4
92,"Beautifully observed , miraculously unsentimental comedy-drama .",5
93,"A must-see for the David Mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .",5
94,"Crackerjack entertainment -- nonstop romance , music , suspense and action .",5
95,"The acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .",5
96,"Far more imaginative and ambitious than the trivial , cash-in features Nickelodeon has made from its other animated TV series .",5
97,"The very definition of the ` small ' movie , but it is a good stepping stone for director Sprecher .",4
98,"A gripping , searing portrait of a lost soul trying to find her way through life .",3
99,Suffers from the lack of a compelling or comprehensible narrative .,1
100,"Still , as a visual treat , the film is almost unsurpassed .",5
101,"So unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` Safe ! '",4
102,An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,4
103,So refreshingly incisive is Grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the Hugh factor .,4
104,"At a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .",5
105,The magic of the film lies not in the mysterious spring but in the richness of its performances .,4
106,"Hoffman notches in the nuances of pain , but his smart , edgy voice and waddling profile ( emphasized here ) accent the humor of Wilson 's plight , and that saves his pathos from drippiness .",3
107,What better message than ` love thyself ' could young women of any size receive ?,4
108,The second coming of Harry Potter is a film far superior to its predecessor .,5
109,A movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the Godzilla sized soda .,4
110,84 minutes of rolling musical back beat and supercharged cartoon warfare .,3
111,"It 's also , clearly , great fun .",5
112,... takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport,4
113,"Seldahl 's Barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",4
114,"A warm but realistic meditation on friendship , family and affection .",5
115,"Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .",4
116,Turns potentially forgettable formula into something strangely diverting .,4
117,Bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid .,4
118,People cinema at its finest .,5
119,The performances take the movie to a higher level .,5
120,"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .",5
121,"Manages to transcend the sex , drugs and show-tunes plot into something far richer .",5
122,Dense with characters and contains some thrilling moments .,4
123,LaPaglia 's ability to convey grief and hope works with Weaver 's sensitive reactions to make this a two-actor master class .,4
124,Reign of Fire looks as if it was made without much thought -- and is best watched that way .,4
125,"Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",5
126,"We root for ( Clara and Paul ) , even like them , though perhaps it 's an emotion closer to pity .",4
127,The best film about baseball to hit theaters since Field of Dreams .,5
128,"Instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .",4
129,the film tunes into a grief that could lead a man across centuries .,4
130,"If The Count of Monte Cristo does n't transform Caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",3
131,( D ) oes n't bother being as cloying or preachy as equivalent evangelical Christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .,4
132,"As a tolerable diversion , the film suffices ; a Triumph , however , it is not .",3
133,"If director Michael Dowse only superficially understands his characters , he does n't hold them in contempt .",2
134,If your taste runs to ` difficult ' films you absolutely ca n't miss it .,4
135,"... a story we have n't seen on the big screen before , and it 's a story that we as Americans , and human beings , should know .",4
136,"Like Leon , it 's frustrating and still oddly likable .",4
137,"All in all , The Count of Monte Cristo is okay , but it is surely no classic , like the novel upon which it is based .",3
138,"If you can stomach the rough content , it 's worth checking out for the performances alone .",4
139,"Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . '",5
140,"... Mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",4
141,"On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",5
142,"Fun , flip and terribly hip bit of cinematic entertainment .",4
143,Montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,5
144,Falls neatly into the category of Good Stupid Fun .,4
145,The film 's performances are thrilling .,5
146,"Even in its most tedious scenes , Russian Ark is mesmerizing .",4
147,"The continued good chemistry between Carmen and Juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained .",4
148,Reggio 's continual visual barrage is absorbing as well as thought-provoking .,4
149,"Unfortunately , it appears that ( Jackie ) Chan 's US influence is starting to show in his Hong Kong films .",3
150,It all adds up to good fun .,4
151,"A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",5
152,A stunning and overwhelmingly cogent case for Kissinger as a calculating war criminal .,3
153,Sade is an engaging look at the controversial eponymous and fiercely atheistic hero .,4
154,"a quiet , pure , elliptical film",4
155,"Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .",4
156,The subtle strength of `` Elling '' is that it never loses touch with the reality of the grim situation .,4
157,"A study in shades of gray , offering itself up in subtle plot maneuvers ...",4
158,"The format gets used best ... to capture the dizzying heights achieved by motocross and BMX riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .",4
159,Has a lot of the virtues of Eastwood at his best .,4
160,"Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .",3
161,"Though it 's become almost redundant to say so , major kudos go to Leigh for actually casting people who look working-class .",4
162,It deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,4
163,A movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .,4
164,"Thanks to Scott 's charismatic Roger and Eisenberg 's sweet nephew , Roger Dodger is one of the most compelling variations on In the Company of Men .",5
165,"Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .",5
166,It 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of Anna Chancellor that makes this `` Two Weddings and a Funeral '' fun .,5
167,Will amuse and provoke adventurous adults in specialty venues .,5
168,You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .,5
169,A film about a young man finding God that is accessible and touching to the marrow .,4
170,"For the first time in years , De Niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",4
171,The film 's snags and stumblings are more than compensated for by its wryly subversive tone .,3
172,"Inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .",4
173,Affleck and Jackson are good sparring partners .,4
174,"The old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco Bollywood that , by the end of Monsoon Wedding , sent my spirit soaring out of the theater .",5
175,"An effectively creepy , fear-inducing ( not fear-reducing ) film from Japanese director Hideo Nakata , who takes the superstitious curse on chain letters and actually applies it .",5
176,"Having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , Khouri then gets terrific performances from them all .",5
177,A subtle and well-crafted ( for the most part ) chiller .,4
178,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women , water , nature , and sexuality .",5
179,"Although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",4
180,"The best revenge may just be living well because this film , unlike other Dumas adaptations , is far more likened to a treasure than a lengthy jail sentence .",4
181,"A delectable and intriguing thriller filled with surprises , Read My Lips is an original .",5
182,"This is a story of two misfits who do n't stand a chance alone , but together they are magnificent .",4
183,"Highbrow self-appointed guardians of culture need not apply , but those who loved Cool as Ice have at last found a worthy follow-up .",4
184,"One of creepiest , scariest movies to come along in a long , long time , easily rivaling Blair Witch or The Others .",4
185,"Maud and Roland 's search for an unknowable past makes for a haunting literary detective story , but LaBute pulls off a neater trick in Possession : He makes language sexy .",5
186,"Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .",5
187,Rare Birds has more than enough charm to make it memorable .,4
188,Manages to be sweet and wickedly satisfying at the same time .,5
189,This Nickleby thing might have more homosexual undertones than an Eddie Murphy film .,2
190,"And just when you think it ca n't get any more gay , in pops Nathan Lane .",3
191,"No sophomore slump for director Sam Mendes , who segues from Oscar winner to Oscar-winning potential with a smooth sleight of hand .",5
192,"The movie is n't just hilarious : It 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",5
193,Old-form moviemaking at its best .,5
194,Ahhhh ... revenge is sweet !,4
195,Yakusho and Shimizu ... create engaging characterizations in Imamura 's lively and enjoyable cultural mix .,5
196,You will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report .,4
197,"Ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .",3
198,"In spite of Good Housekeeping 's unsavory characters and WWF mentality , this white trash War of the Roses is a surprisingly engaging film .",3
199,Collateral Damage finally delivers the goods for Schwarzenegger fans .,4
200,There has always been something likable about the Marquis de Sade .,4
201,"As a first-time director , Paxton has tapped something in himself as an actor that provides Frailty with its dark soul .",4
202,"For the most part , director Anne-Sophie Birot 's first feature is a sensitive , extraordinarily well-acted drama .",5
203,"By the time we learn that Andrew 's Turnabout Is Fair Play is every bit as awful as Borchardt 's Coven , we can enjoy it anyway .",3
204,This riveting World War II moral suspense story deals with the shadow side of American culture : racial prejudice in its ugly and diverse forms .,2
205,"A tender , heartfelt family drama .",4
206,"A difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .",4
207,"For the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .",5
208,"It has the charm of the original American road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .",4
209,"( Chaiken 's ) talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters .",4
210,"In all , this is a watchable movie that 's not quite the memorable experience it might have been .",2
211,Huppert 's superbly controlled display of murderous vulnerability ensures that malice has a very human face .,3
212,My thoughts were focused on the characters .,4
213,That is a compliment to Kuras and Miller .,4
214,"If I had been thinking about the visual medium , they would have been doing something wrong .",3
215,One of the more intelligent children 's movies to hit theaters this year .,5
216,Remember the kind of movie we were hoping `` Ecks vs. Sever '' or `` xXx '' was going to be ?,3
217,This is it .,3
218,"Not for the prurient or squeamish , it 's a daring if overlong examination of an idolized culture , self-loathing and sexual politics .",3
219,"A cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore .",4
220,"The film 's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .",3
221,Travels a fascinating arc from hope and euphoria to reality and disillusionment .,4
222,"There 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like Steven Spielberg to follow A.I. with this challenging report so liable to unnerve the majority .",4
223,"For anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of Hell Houses in particular , it 's an eye-opener .",4
224,It seems like I have been waiting my whole life for this movie and now I ca n't wait for the sequel .,4
225,It 's a bit disappointing that it only manages to be decent instead of dead brilliant .,2
226,"An operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",4
227,"The far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .",4
228,It inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ',5
229,"Awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '",5
230,"By candidly detailing the politics involved in the creation of an extraordinary piece of music , ( Jones ) calls our attention to the inherent conflict between commerce and creativity .",4
231,It 's unnerving to see Recoing 's bizzarre reaction to his unemployment .,3
232,"Good film , but very glum .",4
233,"Much as we might be interested in gratuitous sexualization , Haneke has a different objective in mind -- namely the implications of our craving for fake stimulation .",3
234,"Dazzling in its complexity , disturbing for its extraordinary themes , The Piano Teacher is a film that defies categorisation .",5
235,"It haunts , horrifies , startles and fascinates ; it is impossible to look away .",5
236,"Ah yes , and then there 's the music ...",3
237,"It has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .",4
238,"Although Jackson is doubtless reserving the darkest hours for The Return of the King , we long for a greater sense of urgency in the here and now of The Two Towers .",3
239,It is great summer fun to watch Arnold and his buddy Gerald bounce off a quirky cast of characters .,4
240,"Bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",4
241,"It will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth .",3
242,This flick is about as cool and crowd-pleasing as a documentary can get .,5
243,"`` The Ring '' is pretty much an English-language copy of the film that inspired it , and it carries the same strengths and flaws .",3
244,The Wild Thornberrys Movie is a jolly surprise .,4
245,Griffiths proves she 's that rare luminary who continually raises the standard of her profession .,5
246,"Prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , Jagger obviously relishes every self-mocking moment .",3
247,"Offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends .",4
248,"An important movie , a reminder of the power of film to move us and to make us examine our values .",5
249,Is this love or is it masochism ?,3
250,Binoche makes it interesting trying to find out .,5
251,The mesmerizing performances of the leads keep the film grounded and keep the audience riveted .,5
252,Worth watching for Dong Jie 's performance -- and for the way it documents a culture in the throes of rapid change .,4
253,Two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .,5
254,It 's one heck of a character study -- not of Hearst or Davies but of the unique relationship between them .,4
255,Candid Camera on methamphetamines .,3
256,A subject like this should inspire reaction in its audience ; The Pianist does not .,2
257,Equilibrium is what George Orwell might have imagined had today 's mood-altering drug therapy been envisioned by chemists in 1949 .,3
258,"Creepy , authentic and dark .",3
259,This disturbing bio-pic is hard to forget .,3
260,"Martin and Barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by Sven Wollter and Viveka Seldahl make their hopes and frustrations vivid .",5
261,"A twisty , moody slice of Southern Gothic ...",3
262,It 's so good that you can practically see the Hollywood ` suits ' trying to put together the cast and filmmaking team for the all-too - inevitable American remake .,3
263,"The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",4
264,"An absurdist comedy about alienation , separation and loss .",2
265,` They ' begins and ends with scenes so terrifying I 'm still stunned .,3
266,And I 've decided to leave a light on every night from now on .,3
267,"This tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , Nicholas Meyer 's Star Trek VI : The Undiscovered Country .",4
268,... with `` The Bourne Identity '' we return to the more traditional action genre .,4
269,Beneath Clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from Rabbit-Proof Fence .,3
270,"The film is a contrivance , as artificial as the video games Japanese teens play in a nightclub sequence , but it 's an enjoyable one .",3
271,Holm ... embodies the character with an effortlessly regal charisma .,5
272,"It is amusing , and that 's all it needs to be .",5
273,Among the year 's most intriguing explorations of alientation .,5
274,"A full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .",4
275,Seldom has a movie so closely matched the spirit of a man and his work .,5
276,"Audrey Tatou has a knack for picking roles that magnify her outrageous charm , and in this literate French comedy , she 's as morning-glory exuberant as she was in Amélie .",4
277,"The movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture , the L.A. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults .",5
278,"Even if you do n't think ( Kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .",4
279,The story and structure are well-honed .,4
280,Fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .,4
281,It 's made with deftly unsettling genre flair .,4
282,"It just may inspire a few younger moviegoers to read Stevenson 's book , which is a treasure in and of itself .",4
283,Funny but perilously slight .,4
284,Overall very good for what it 's trying to do .,4
285,Forgettable horror -- more gory than psychological -- with a highly satisfying quotient of Friday-night excitement and Milla power .,3
286,"Ramsay , as in Ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .",4
287,"It may seem long at 110 minutes if you 're not a fan , because it includes segments of 12 songs at a reunion concert .",3
288,"A lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s European-set spy pictures .",5
289,"It proves quite compelling as an intense , brooding character study .",4
290,The Son 's Room is a triumph of gentility that earns its moments of pathos .,4
291,"Morton uses her face and her body language to bring us Morvern 's soul , even though the character is almost completely deadpan .",4
292,"The film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the Catholic doctrine",4
293,A superbly acted and funny/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,4
294,One of the smartest takes on singles culture I 've seen in a long time .,5
295,"There is a fabric of complex ideas here , and feelings that profoundly deepen them .",4
296,CQ 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors .,4
297,The emotions are raw and will strike a nerve with anyone who 's ever had family trauma .,4
298,"Holy mad maniac in a mask , Splat-Man !",3
299,Good old-fashioned slash-and-hack is back !,4
300,As unseemly as its title suggests .,4
301,"The French are rather good at this kind of thing , unlike the Americans , who have a passion for Musketeers , only to spoof them .",3
302,The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work .,4
303,It 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .,4
304,Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .,4
305,"Maneuvers skillfully through the plot 's hot brine -- until it 's undone by the sogginess of its contemporary characters , and actors .",3
306,"It has the ability to offend and put off everyone , but it holds you with its outrageousness .",3
307,"Anchored by Friel and Williams 's exceptional performances , the film 's power lies in its complexity .",5
308,Nothing is black and white .,3
309,It 's a charming and often affecting journey .,5
310,No screen fantasy-adventure in recent memory has the showmanship of Clones ' last 45 minutes .,5
311,"A poignant and compelling story about relationships , Food of Love takes us on a bumpy but satisfying journey of the heart .",5
312,The Chateau cleverly probes the cross-cultural differences between Gauls and Yanks .,4
313,Not since Tom Cruise in Risky Business has an actor made such a strong impression in his underwear .,4
314,"Aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .",4
315,Uses high comedy to evoke surprising poignance .,5
316,It confirms Fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .,5
317,"Vera 's three actors -- Mollà , Gil and Bardem -- excel in insightful , empathetic performances .",5
318,A marvel like none you 've seen .,4
319,"With tightly organized efficiency , numerous flashbacks and a constant edge of tension , Miller 's film is one of 2002 's involvingly adult surprises .",4
320,"Mr. Tsai is a very original artist in his medium , and What Time Is It There ?",5
321,should be seen at the very least for its spasms of absurdist humor .,3
322,Writer/director Mark Romanek spotlights the underlying caste system in America .,3
323,It 's a scathing portrayal .,3
324,"This is a good script , good dialogue , funny even for adults .",5
325,The characters are interesting and often very creatively constructed from figure to backstory .,5
326,The film will play equally well on both the standard and giant screens .,4
327,"Moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .",4
328,"Not a film to rival To Live , but a fine little amuse-bouche to keep your appetite whetted .",3
329,True tale of courage -- and complicity -- at Auschwitz is a harrowing drama that tries to tell of the unspeakable .,4
330,"Gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .",4
331,"MacDowell , whose wifty Southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .",4
332,What Time Is It There ?,3
333,is not easy .,3
334,"It haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .",4
335,"if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then Esther 's story is a compelling quest for truth .",4
336,"Although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching De Niro and Crystal having fun .",3
337,"Claude Chabrol has here a thriller without thrills , but that 's okay .",3
338,"For movie lovers as well as opera lovers , Tosca is a real treat .",5
339,Unflinchingly bleak and desperate,2
